ＥＤＩＮＥＴコード,提出者種別,上場区分,連結の有無,資本金,決算日,提出者名,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード,提出者法人番号
E00081,内国法人・組合,上場,有,11374, 3月31日,若築建設株式会社,"WAKACHIKU CONSTRUCTION CO.,LTD.",ワカチクケンセツカブシキガイシャ,北九州市若松区浜町１－４－７,建設業,18880,6290801012011
E00082,内国法人・組合,上場,有,14049, 3月31日,東洋建設株式会社,"TOYO CONSTRUCTION CO.,LTD.",トウヨウケンセツカブシキガイシャ,大阪市中央区高麗橋４丁目１番１号,建設業,18900,9120001077496
E00083,内国法人・組合,上場,有,19838, 3月31日,株式会社奥村組,OKUMURA CORPORATION,カブシキガイシャオクムラグミ,大阪市阿倍野区松崎町二丁目２番２号,建設業,18330,7120001004931
E00085,内国法人・組合,上場,有,12003, 3月31日,三井住友建設株式会社,"Sumitomo Mitsui Construction Co.,Ltd.",ミツイスミトモケンセツカブシキガイシャ,中央区佃二丁目１番６号,建設業,18210,2010001131477
E00086,内国法人・組合,上場,有,30449, 3月31日,五洋建設株式会社,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",ゴヨウケンセツカブシキガイシャ,文京区後楽二丁目２番８号,建設業,18930,1010001000006
E00090,内国法人・組合,上場,有,57500, 3月31日,株式会社　長谷工コーポレーション,HASEKO Corporation,カブシキガイシャ　ハセコウコーポレーション,港区芝二丁目３２番１号,建設業,18080,7010401024061
E00091,内国法人・組合,上場,無,508, 3月31日,中央ビルト工業株式会社,"CHUO BUILD INDUSTRY CO.,LTD.",チュウオウビルトコウギョウカブシキガイシャ,中央区日本橋富沢町１１番１２号,金属製品,19710,2010001034861
E00092,内国法人・組合,上場,有,2881, 3月31日,株式会社東京エネシス,TOKYO ENERGY & SYSTEMS INC.,カブシキガイシャトウキョウエネシス,中央区日本橋茅場町一丁目３番１号,建設業,19450,6010401020680
E00093,内国法人・組合,上場,有,4324, 3月31日,大末建設株式会社,"DAISUE CONSTRUCTION CO., LTD.",ダイスエケンセツカブシキガイシャ,大阪市中央区久太郎町二丁目５番２８号,建設業,18140,5120001083408
E00094,内国法人・組合,上場,有,6888, 3月31日,エクシオグループ株式会社,"EXEO Group, Inc.",エクシオグループカブシキガイシャ,渋谷区渋谷三丁目２９番２０号,建設業,19510,3011001031955
E00095,内国法人・組合,上場,有,30736, 3月31日,大豊建設株式会社,DAIHO CORPORATION,ダイホウケンセツカブシキガイシャ,中央区新川一丁目２４番４号,建設業,18220,3010001034869
E00097,内国法人・組合,上場,有,5000, 3月31日,株式会社不動テトラ,Fudo Tetra Corporation,カブシキガイシャフドウテトラ,中央区日本橋小網町７番２号,建設業,18130,4010001141053
E00098,内国法人・組合,上場,有,6119, 3月31日,ライト工業株式会社,"RAITO KOGYO CO., LTD.",ライトコウギョウカブシキガイシャ,千代田区九段北４－２－３５,建設業,19260,7010001008811
E00099,内国法人・組合,非上場,有,635, 3月31日,鈴縫工業株式会社,SUZUNUI CORPORATION,スズヌイコウギョウカブシキガイシャ,日立市城南町１丁目１１番３１号,建設業,,6050001023270
E00101,内国法人・組合,上場,無,310, 3月31日,サンユー建設株式会社,"SANYU CONSTRUCTION CO.,LTD.",サンユーケンセツカブシキガイシャ,大田区南雪谷２丁目１７番８号,建設業,18410,9010801004850
E00105,内国法人・組合,上場,有,5061, 3月31日,株式会社ナカノフドー建設,NAKANO CORPORATION,カブシキガイシャナカノフドーケンセツ,千代田区九段北四丁目２番２８号,建設業,18270,4010001008731
E00107,内国法人・組合,上場,有,8105, 3月31日,三機工業株式会社,"SANKI ENGINEERING CO.,LTD.",サンキコウギョウカブシキガイシャ,中央区明石町８番１号,建設業,19610,2010001008683
E00109,内国法人・組合,上場,無,1980, 3月31日,三晃金属工業株式会社,"Sanko Metal Industrial Co., Ltd.",サンコウキンゾクコウギョウカブシキガイシャ,港区芝浦４丁目１３番２３号,建設業,19720,9010401038472
E00112,内国法人・組合,上場,有,2810, 3月31日,東鉄工業株式会社,"TOTETSU KOGYO CO.,LTD.",トウテツコウギョウカブシキガイシャ,新宿区信濃町３４番地,建設業,18350,6011101014147
E00113,内国法人・組合,上場,有,4000, 3月31日,太平電業株式会社,"TAIHEI DENGYO KAISHA,LTD.",タイヘイデンギョウカブシキガイシャ,千代田区神田神保町二丁目４番地,建設業,19680,4010001008748
E00114,内国法人・組合,上場,有,6440, 3月31日,住友電設株式会社,"SUMITOMO DENSETSU CO.,LTD.",スミトモデンセツカブシキガイシャ,大阪市西区阿波座２丁目１番４号,建設業,19490,7120001044515
E00115,内国法人・組合,上場,有,8494, 3月31日,日本電設工業株式会社,"NIPPON DENSETSU KOGYO CO.,LTD",ニッポンデンセツコウギョウカブシキガイシャ,台東区池之端一丁目２番２３号,建設業,19500,6010501016240
E00117,内国法人・組合,上場,無,4329, 3月31日,株式会社イチケン,"ICHIKEN Co., Ltd.",カブシキガイシャイチケン,港区芝浦一丁目１番１号,建設業,18470,7010501028268
E00118,内国法人・組合,上場,有,2000, 3月31日,南海辰村建設株式会社,"Nankai Tatsumura Construction Co., Ltd.",ナンカイタツムラケンセツカブシキガイシャ,大阪市浪速区難波中三丁目５番１９号,建設業,18500,3120001039386
E00119,内国法人・組合,上場,有,6176, 3月31日,中外炉工業株式会社,"Chugai Ro Co.,Ltd.",チュウガイロコウギョウカブシキガイシャ,大阪市中央区平野町３丁目６番１号,建設業,19640,2120001049015
E00120,内国法人・組合,上場,有,9614, 3月31日,株式会社淺沼組,ASANUMA CORPORATION,カブシキガイシャアサヌマグミ,大阪市浪速区湊町一丁目２番３号　マルイト難波ビル,建設業,18520,8120001022651
E00121,内国法人・組合,上場,有,1886, 3月31日,佐田建設株式会社,"Sata Construction Co.,Ltd.",サタケンセツカブシキガイシャ,前橋市元総社町一丁目１番地の７,建設業,18260,9070001001420
E00127,内国法人・組合（有価証券報告書等の提出義務者以外）,,,1493,,日本電通株式会社,,ニッポンデンツウカブシキガイシャ,大阪市港区磯路２丁目２１番１号,内国法人・組合（有価証券報告書等の提出義務者以外）,,4120001030138
E00129,内国法人・組合,非上場,有,5676, 3月31日,ＮＤＳ株式会社,"NDS CO.,LTD.",エヌディエスカブシキガイシャ,名古屋市中区千代田二丁目１５番１８号,建設業,,2180001039415
E00130,内国法人・組合,上場,有,1640, 3月31日,株式会社　森組,"Mori-Gumi Co.,Ltd.",カブシキガイシャ　モリグミ,大阪市中央区道修町４丁目５番１７号,建設業,18530,4120001077567
E00133,内国法人・組合,上場,有,1000,12月31日,金下建設株式会社,"The Kaneshita Construction Co.,Ltd.",カネシタケンセツカブシキガイシャ,宮津市字須津４７１番地の１,建設業,18970,8130001040495
E00135,内国法人・組合,非上場,有,1091, 3月31日,新生テクノス株式会社,"shinsei technos co., ltd.",シンセイテクノスカブシキガイシャ,港区芝五丁目２９番１１号,建設業,,7010401013114
E00137,内国法人・組合,上場,有,7803, 3月31日,株式会社ユアテック,YURTEC CORPORATION,カブシキガイシャユアテック,仙台市宮城野区榴岡４丁目１番１号,建設業,19340,4370001006286
E00138,内国法人・組合,上場,有,5000, 3月20日,株式会社ヤマト,YAMATO CORPORATION,カブシキガイシャヤマト,前橋市古市町１１８番地,建設業,19670,5070001001977
E00142,内国法人・組合,上場,有,6052, 3月31日,日特建設株式会社,"NITTOC CONSTRUCTION CO.,LTD.",ニットクケンセツカブシキガイシャ,中央区東日本橋３丁目１０番６号,建設業,19290,7010001053304
E00143,内国法人・組合,上場,有,202591, 1月31日,積水ハウス株式会社,"Sekisui House,Ltd.",セキスイハウスカブシキガイシャ,大阪市北区大淀中一丁目１番８８号,建設業,19280,8120001059652
E00144,内国法人・組合,非上場,有,300, 3月31日,松尾建設株式会社,"matsuo construction co.,ltd.",マツオケンセツカブシキガイシャ,佐賀市多布施一丁目４番２７号,建設業,,6300001000905
E00146,内国法人・組合,上場,有,12561, 3月31日,株式会社九電工,KYUDENKO CORPORATION,カブシキガイシャキュウデンコウ,福岡市南区那の川一丁目２３番３５号,建設業,19590,6290001001120
E00147,内国法人・組合,上場,有,23001, 3月31日,戸田建設株式会社,TODA CORPORATION,トダケンセツカブシキガイシャ,中央区京橋１－７－１,建設業,18600,6010001034874
E00148,内国法人・組合,上場,有,6808, 3月31日,矢作建設工業株式会社,"YAHAGI CONSTRUCTION CO.,LTD.",ヤハギケンセツコウギョウカブシキガイシャ,名古屋市東区葵三丁目１９番７号,建設業,18700,6180001018506
E00149,内国法人・組合,上場,有,13134, 3月31日,高砂熱学工業株式会社,"Takasago Thermal Engineering Co., Ltd.",タカサゴネツガクコウギョウカブシキガイシャ,新宿区新宿六丁目２７番３０号,建設業,19690,3010001008749
E00153,内国法人・組合,上場,有,3857, 3月31日,株式会社朝日工業社,"ASAHI KOGYOSHA CO.,LTD.",カブシキガイシャアサヒコウギョウシャ,港区浜松町一丁目２５番７号,建設業,19750,5010401000023
E00157,内国法人・組合,上場,有,9812, 3月31日,都築電気株式会社,"TSUZUKI DENKI CO., LTD.",ツヅキデンキカブシキガイシャ,港区新橋六丁目１９番１５号,卸売業,81570,9010401054908
E00161,内国法人・組合,上場,有,6889, 3月31日,明星工業株式会社,"MEISEI INDUSTRIAL Co.,Ltd.",メイセイコウギョウカブシキガイシャ,大阪市西区京町堀１丁目８番５号,建設業,19760,1120001049032
E00165,内国法人・組合,上場,有,100, 3月31日,株式会社ＲＩＳＥ,RISE Inc.,カブシキガイシャライズ,港区西新橋三丁目１６番１１号　愛宕イーストビル３階,不動産業,88360,8010001128641
E00167,内国法人・組合,上場,有,1751, 3月31日,株式会社佐藤渡辺,"WATANABE SATO CO., LTD.",カブシキガイシャサトウワタナベ,港区南麻布一丁目１８番４号,建設業,18070,5010401031200
E00168,内国法人・組合,上場,有,5753, 3月31日,日比谷総合設備株式会社,"Hibiya Engineering,Ltd.",ヒビヤソウゴウセツビカブシキガイシャ,港区三田三丁目５番２７号,建設業,19820,9010401025405
E00169,内国法人・組合,非上場,有,50000,12月31日,株式会社竹中工務店,TAKENAKA CORPORATION,カブシキガイシャタケナカコウムテン,大阪市中央区本町四丁目１番１３号,建設業,,3120001077469
E00170,内国法人・組合,非上場,有,9068, 2月末日,株式会社ヤマダ・エスバイエルホーム,"YAMADA SXL HOME CO.,LTD.",カブシキガイシャヤマダエスバイエルホーム,高崎市栄町１－１,建設業,,7120001061675
E00173,内国法人・組合,上場,有,1190, 3月31日,株式会社サンテック,Sanyo Engineering & Construction Inc.,カブシキガイシャサンテック,千代田区二番町３番地１３,建設業,19600,4010001008681
E00174,内国法人・組合,非上場,有,5000, 3月31日,青木あすなろ建設株式会社,"Asunaro Aoki Construction Co.,Ltd.",アオキアスナロケンセツカブシキガイシャ,港区芝四丁目８－２,建設業,,4010401010452
E00175,内国法人・組合,上場,有,9116, 3月31日,北野建設株式会社,KITANO CONSTRUCTION CORP.,キタノケンセツカブシキガイシャ,長野市県町５２４番地,建設業,18660,7100001000742
E00176,内国法人・組合,上場,有,2000, 3月31日,世紀東急工業株式会社,"SEIKITOKYU KOGYO CO.,LTD.",セイキトウキュウコウギョウカブシキガイシャ,港区芝公園二丁目９番３号,建設業,18980,1010401015438
E00178,内国法人・組合,非上場,有,14502, 3月31日,日成ビルド工業株式会社,"NISSEI BUILD KOGYO CO.,LTD.",ニッセイビルドコウギョウカブシキガイシャ,金沢市金石北３丁目１６番１０号,建設業,,2220001004983
E00179,内国法人・組合,上場,有,5315, 3月31日,株式会社植木組,UEKI  CORPORATION,カブシキガイシャウエキグミ,柏崎市駅前１丁目５番４５号,建設業,18670,8110001017149
E00181,内国法人・組合,上場,有,3451, 3月31日,株式会社四電工,YONDENKO CORPORATION,カブシキガイシャヨンデンコウ,高松市花ノ宮町２丁目３番９号,建設業,19390,7470001004244
E00182,内国法人・組合,上場,無,1310, 3月31日,神田通信機株式会社,"KANDA TSUSHINKI CO.,LTD.",カンダツウシンキカブシキガイシャ,千代田区神田富山町２４番地,建設業,19920,6010001013597
E00183,内国法人・組合,上場,有,6455, 3月31日,株式会社大気社,Taikisha Ltd.,カブシキガイシャタイキシャ,新宿区西新宿八丁目１７番１号,建設業,19790,7011101011812
E00184,内国法人・組合,非上場,有,1600, 3月31日,西部電気工業株式会社,"Seibu Electric Industry Co.,Ltd.",セイブデンキコウギョウカブシキガイシャ,福岡市博多区博多駅東三丁目７番１号,建設業,,5290001037925
E00185,内国法人・組合,上場,有,1430, 3月31日,日本リーテック株式会社,"NIPPON RIETEC CO.,LTD.",ニッポンリーテックカブシキガイシャ,千代田区神田錦町一丁目６番地,建設業,19380,5011501002891
E00187,内国法人・組合,上場,有,1004, 3月31日,日建工学株式会社,"NIKKEN KOGAKU CO., LTD.",ニッケンコウガクカブシキガイシャ,新宿区西新宿６丁目１０番１号,サービス業,97670,1011101015686
E00189,内国法人・組合,上場,無,590, 3月31日,株式会社協和日成,"KYOWANISSEI CO.,LTD.",カブシキガイシャキョウワニッセイ,中央区入船三丁目８番５号,建設業,19810,5011001006550
E00191,内国法人・組合,非上場,有,4104, 3月31日,シーキューブ株式会社,C-CUBE Corporation,シーキューブカブシキガイシャ,名古屋市中区門前町１番５１号,建設業,,6180001036656
E00193,内国法人・組合,非上場,有,2847, 3月31日,株式会社ＴＴＫ,"TTK Co., Ltd.",カブシキガイシャティティケイ,仙台市若林区新寺１丁目２番２３号,建設業,,5370001004355
E00194,内国法人・組合,上場,有,4479, 3月31日,ダイダン株式会社,"DAI-DAN CO.,LTD.",ダイダンカブシキガイシャ,大阪市西区江戸堀１丁目９番２５号,建設業,19800,6120001045084
E00196,内国法人・組合,上場,有,5158,12月31日,株式会社福田組,FUKUDA CORPORATION,カブシキガイシャフクダグミ,新潟市中央区一番堀通町３番地１０,建設業,18990,9110001004880
E00197,内国法人・組合,上場,有,3873,10月31日,株式会社日本ハウスホールディングス,"NIHON HOUSE HOLDINGS CO., LTD.",カブシキガイシャニホンハウスホールディングス,千代田区飯田橋四丁目３番８,建設業,18730,6400001001397
E00198,内国法人・組合,非上場,有,801, 3月31日,株式会社ＳＹＳＫＥＮ,SYSKEN Corporation,カブシキガイシャシスケン,熊本市中央区萩原町１４番４５号,建設業,,3330001003635
E00199,内国法人・組合（有価証券報告書等の提出義務者以外）,,,3804,,株式会社ミライト・テクノロジーズ,,カブシキガイシャミライトテクノロジーズ,大阪市西区江戸堀三丁目３番１５号,内国法人・組合（有価証券報告書等の提出義務者以外）,,4120001048989
E00200,内国法人・組合,非上場,有,11876, 3月31日,東芝プラントシステム株式会社,TOSHIBA PLANT SYSTEMS & SERVICES CORPORATION,トウシバプラントシステムカブシキガイシャ,横浜市鶴見区鶴見中央四丁目３６番５号,建設業,,2020001086464
E00201,内国法人・組合,上場,有,1594, 3月31日,名工建設株式会社,"MEIKO CONSTRUCTION CO.,LTD.",メイコウケンセツカブシキガイシャ,名古屋市中村区名駅一丁目１番４号　ＪＲセントラルタワーズ３４階,建設業,18690,1180001027354
E00202,内国法人・組合,非上場,無,500, 3月31日,三信建設工業株式会社,SANSHIN CORPORATION,サンシンケンセツコウギョウカブシキガイシャ,台東区柳橋２丁目１９番６号,建設業,,6010501029787
E00204,内国法人・組合,上場,有,5907, 3月31日,日本基礎技術株式会社,"japan foundation engineering co.,ltd.",ニホンキソギジュツカブシキガイシャ,大阪市北区天満１丁目９番１４号,建設業,19140,9120001072753
E00207,内国法人・組合,上場,有,3328, 3月31日,北陸電気工事株式会社,"hokuriku electrical construction co.,ltd.",ホクリクデンキコウジカブシキガイシャ,富山市小中２６９番,建設業,19300,6230001003007
E00208,内国法人・組合,上場,有,4026, 1月31日,株式会社丹青社,"tanseisha co.,ltd.",カブシキガイシャタンセイシャ,港区港南１丁目２番７０号,サービス業,97430,3010501007440
E00209,内国法人・組合,上場,有,3642, 3月31日,株式会社　高田工業所,TAKADA CORPORATION,カブシキガイシャ　タカダコウギョウショ,北九州市八幡西区築地町１番１号,建設業,19660,4290801010231
E00210,内国法人・組合,上場,有,13122, 3月31日,ＮＥＣネッツエスアイ株式会社,NEC Networks & System Integration Corporation,エヌイーシーネッツエスアイカブシキガイシャ,文京区後楽二丁目６番１号,情報・通信業,19730,6010001135680
E00211,内国法人・組合,非上場,有,2324, 3月31日,株式会社ソルコム,"SOLCOM Co., Ltd.",カブシキガイシャソルコム,広島市中区南千田東町２番３２号,建設業,,3240001009220
E00213,内国法人・組合,非上場,有,611, 3月31日,北陸電話工事株式会社,"Hokuriku Denwa Kouji Co.,Ltd.",ホクリクデンワコウジカブシキガイシャ,金沢市米泉町１０丁目１番地１５３,建設業,,6220001006423
E00218,内国法人・組合,上場,有,29060, 3月31日,大東建託株式会社,"DAITO TRUST CONSTRUCTION CO.,LTD.",ダイトウケンタクカブシキガイシャ,港区港南二丁目１６番１号,建設業,18780,4010401016607
E00221,内国法人・組合,上場,有,3665, 3月31日,新日本建設株式会社,SHINNIHON CORPORATION,シンニホンケンセツカブシキカイシャ,千葉市美浜区ひび野一丁目４番３,建設業,18790,2040001003186
